"Authors","Year","Title","Journal","Volume","Issue","DOI","Number_of_Assessments","Number_Relevant","Relevance"
"Renk V., Cunha T., Dos Santos J.Z., Fischer M.L., Sganzerla A.","2017","From environmental ethics to environmental bioethics: Antecedents, trajectories, and perspectives","Historia, Ciencias, Saude - Manguinhos","24","2","10.1590/s0104-59702017000200005","3","2","1.0"
"Howard G.R., Lubbe S.","2012","Synthesis of green IS frameworks for achieving strong environmental sustainability in organisations","ACM International Conference Proceeding Series","","","","3","2","1.0"
"Oczypok E.A., Etheridge T., Freeman J., Stodieck L., Johnsen R., Baillie D., Szewczyk N.J.","2012","Remote automated multi-generational growth and observation of an animal in low Earth orbit","Journal of the Royal Society Interface","9","68","10.1098/rsif.2011.0716","3","2","1.0"
"Fettweis C.J.","2006","A revolution in international relation theory: Or, what if Mueller is right?","International Studies Review","8","4","10.1111/j.1468-2486.2006.00642.x","3","2","1.0"
"Abeysinghe S., White K.","2011","The avian influenza pandemic: Discourses of risk, contagion and preparation in Australia","Health, Risk and Society","13","4","10.1080/13698575.2011.575457","3","2","1.0"
"Maloner T.F.","1983","Human survival over next 50 years [2]","Chemical and Engineering News","61","2","","3","2","1.0"
"Welsh S.","2017","Clarifying the language of lethal autonomy in military robots","Intelligent Systems, Control and Automation: Science and Engineering","84","","10.1007/978-3-319-46667-5_13","3","2","1.0"
"Reitz L.P.","1970","New wheats and social progress","Science","169","3949","","3","2","1.0"
"Imamura S.","2008","Approaches to the global warming problem, which exerts a huge impact on the survival of humanity","Japan Medical Association Journal","51","6","","3","2","1.0"
"Howarth R.B., Monahan P.A.","1996","Economics, ethics, and climate policy: Framing the debate","Global and Planetary Change","11","4","","3","2","1.0"
"Chen J., Peng B., Zhang L., Lei X.","2015","Using extreme value theory approaches to forecast the probability of outbreak of highly pathogenic influenza in Zhejiang, China","PLoS ONE","10","2","10.1371/journal.pone.0118521","3","2","1.0"
"Cockell C.S., Bland P.A.","2005","The evolutionary and ecological benefits of asteroid and comet impacts","Trends in Ecology and Evolution","20","4","10.1016/j.tree.2005.01.009","3","2","1.0"
"Emel'yanenko V.V., Bailey M.E.","1998","Capture of Halley-type comets from the near-parabolic flux","Monthly Notices of the Royal Astronomical Society","298","1","","3","2","1.0"
"Smith T.J., Kriebel D.","2011","A Biologic Approach to Environmental Assessment and Epidemiology","A Biologic Approach to Environmental Assessment and Epidemiology","9780195141566","","10.1093/acprof:oso/9780195141566.001.0001","3","2","1.0"
"Mitrović V.","2012","Nanotechnologies and global survival [Nano-Tehnologije I globalno preživljavanje]","Sociologija","54","1","10.2298/SOC1201037M","3","2","1.0"
"De Araujo M.","2016","Redesigning human nature: Moral bioenhancement and the quest for the resolution of political conflicts","Filosofia Unisinos","17","3","10.4013/fsu.2016.173.16","3","2","1.0"
"Rooki R., Ardejani F.D., Aryafar A., Asadi A.B.","2011","Prediction of heavy metals in acid mine drainage using artificial neural network from the Shur River of the Sarcheshmeh porphyry copper mine, Southeast Iran","Environmental Earth Sciences","64","5","10.1007/s12665-011-0948-5","3","2","1.0"
"Tabaqchali S.","1997","Vancomycin-resistant Staphylococcus aureus: Apocalypse now?","Lancet","350","9092","10.1016/S0140-6736(05)64269-9","3","2","1.0"
"Yang Z., Yao S., Yang M., Gao J.","2016","Regional ecological restoration planning and its key problems","Shengtai Xuebao/ Acta Ecologica Sinica","36","17","10.5846/stxb201503110469","3","2","1.0"
"Cvjetanović B.","2000","Epidemiology of violence and war","Collegium Antropologicum","24","1","","3","2","1.0"
"Majot A., Yampolskiy R.","2014","Global catastrophic risk and security implications of quantum computers","Futures","72","","10.1016/j.futures.2015.02.006","3","2","1.0"
"Nichols J.M., Beavers J.E.","2008","World earthquake fatalities from the past: Implications for the present and future","Natural Hazards Review","9","4","10.1061/(ASCE)1527-6988(2008)9:4(179)","3","2","1.0"
"Hughes J.J.","2012","The politics of transhumanism and the techno-millennial imagination, 1626-2030","Zygon","47","4","10.1111/j.1467-9744.2012.01289.x","3","2","1.0"
"Liu D.","2012","Living environment of ecological landscape design","World Automation Congress Proceedings","","","","3","2","1.0"
"Stephens P., Cooksley J., Da Silva Curiel A., Boland L., Jason S., Northham J., Brewer A., Anzalchi J., Newell H., Underwood C., Machin S., Sun W., Sweeting M.","2003","Launch of the international disaster monitoring constellation; The development of a novel international partnership in space","RAST 2003 - Proceedings of International Conference on Recent Advances in Space Technologies","","","10.1109/RAST.2003.1303972","3","2","1.0"
"Keller G.","1989","Extended Cretaceous/Tertiary boundary extinctions and delayed population change in planktonic foraminifera from Brazos River, Texas","Paleoceanography","4","3","10.1029/PA004i003p00287","3","2","1.0"
"Lowe L.D., Hummel F.I.","2014","Disaster readiness for nurses in the workplace: Preparing for the zombie apocalypse","Workplace Health and Safety","62","5","10.3928/21650799-20140422-05","3","2","1.0"
"Scoones I.","1997","Landscapes, fields and soils: Understanding the history of soil fertility management in southern Zimbabwe","Journal of Southern African Studies","23","4","","3","2","1.0"
"Elmoslemany A., Chu D.K.W., Almathen F., Hemida M.G., Alnaeem A., Al-Hizab F., Perera R.A.P.M., Peiris M., Faye B.","2017","Dromedary Camels and the Transmission of Middle East Respiratory Syndrome Coronavirus (MERS-CoV)","Transboundary and Emerging Diseases","64","2","10.1111/tbed.12401","3","2","1.0"
"Flannery J.A., Smith K.M.","2015","Eco-landscape design","Eco-Landscape Design","","","10.1007/978-3-319-07206-7","3","2","1.0"
"Crease R.P.","2010","Dealing with doomsday","Physics World","23.0","4","","3","2","1.0"
"Savage E.L.","2006","Extraterrestrial impacts, volcanism, ozone depletion, and mass extinctions","Northeastern Geology and Environmental Sciences","28","2","","3","2","1.0"
"Dukes P.","2011","Minutes to midnight: History and the anthropocene era from 1763","Minutes to Midnight: History and the Anthropocene Era From 1763","","","10.7135/UPO9780857289254","3","2","1.0"
"Blackford R.","2013","The Great Transition: Ideas and Anxieties","The Transhumanist Reader: Classical and Contemporary Essays on the Science, Technology, and Philosophy of the Human Future","","","10.1002/9781118555927.ch38","3","2","1.0"
"Armstrong S., Bostrom N., Shulman C.","2016","Racing to the precipice: a model of artificial intelligence development","AI and Society","31","2","10.1007/s00146-015-0590-y","3","2","1.0"
"Hole K.J., Netland L.-H.","2010","Toward risk assessment of large-impact and rare events","IEEE Security and Privacy","8.0","3","10.1109/MSP.2010.55","3","2","1.0"
"Duband D.","1990","Reflections on the use of long series of climatological observations as part of the study of climate and its changes [Reflexions sur l'utilisation des longues series d'observation climatologiques dans le cadre de l'etude du climat et de son evolution]","Houille Blanche","45","6","","3","2","1.0"
"Hey N.","2011","The Star Wars enigma: Behind the scenes of the Cold War race for missile defense","The Star Wars Enigma: Behind the Scenes of the Cold War Race for Missile Defense","","","","3","2","1.0"
"Kremen C., Williams N.M., Thorp R.W.","2002","Crop pollination from native bees at risk from agricultural intensification","Proceedings of the National Academy of Sciences of the United States of America","99","26","10.1073/pnas.262413599","3","2","1.0"
"Adushkin V.V., Kudryavtsev V.P., Khazins V.M.","2006","Hydrogen degassing of the Earth and ozone anomalies","Doklady Earth Sciences","406","1","10.1134/S1028334X06010193","3","2","1.0"
"Kyriakidou M.","2016","Auto-Catastrophic Theory: the necessity of self-destruction for the formation, survival, and termination of systems","AI and Society","31","2","10.1007/s00146-015-0598-3","3","2","1.0"
"Koeberl C.","2013","The Geochemistry and Cosmochemistry of Impacts","Treatise on Geochemistry: Second Edition","2","","10.1016/B978-0-08-095975-7.00130-3","3","2","1.0"
"Hwang I.C., Tol R.S.J., Reynès F.","2017","The effect of learning on climate policy under fat-tailed risk","Resource and Energy Economics","48","","10.1016/j.reseneeco.2017.01.001","3","2","1.0"
"Lambakis S.","2018","Foreign space capabilities: Implications for U.S. National Security","Comparative Strategy","37","2","10.1080/01495933.2018.1459144","3","2","1.0"
"Hudson K.","2018","Turning back the Doomsday Clock","IPPR Progressive Review","25","1","10.1111/newe.12086","3","2","1.0"
"Thurlow S., Ruff T., Forrow L.","2018","The 2017 nobel peace prize and the doomsday clock-The end of nuclear weapons or the end of us?","New England Journal of Medicine","378","24","10.1056/NEJMp1801908","3","2","1.0"
"Calaway M.J.","2005","Ice-cores, sediments and civilisation collapse: A cautionary tale from Lake Titicaca","Antiquity","79","306","","3","2","1.0"
"Lewis O.T.","2006","Climate change, species-area curves and the extinction crisis","Philosophical Transactions of the Royal Society B: Biological Sciences","361","1465","10.1098/rstb.2005.1712","3","2","1.0"
"Adame B.J.","2018","The persuasive efficacy of real versus salient hazard scenarios in motivating citizen-level hazard preparedness","International Journal of Disaster Risk Reduction","31","","10.1016/j.ijdrr.2018.05.019","3","2","1.0"
"Macdougall D.","2013","Frozen earth: The once and future story of ice ages","Frozen Earth: The Once and Future Story of Ice Ages","","","","3","2","1.0"
"Ferrell J., Greer C.","2009","Editorial: Global collapse and cultural possibility","Crime, Media, Culture","5","1","10.1177/1741659008102059","3","2","1.0"
"Bradley D.J.","2005","No Doomsday argument without knowledge of birth rank: A defense of Bostrom","Synthese","144","1","10.1007/s11229-005-9131-4","3","2","1.0"
"Müller H.","2005","Farewell to arms: What's blocking nmleav disarmament","IAEA Bulletin","46","2","","3","2","1.0"
"Ceballos G.","2016","IV. Pope Francis’ encyclical letter Laudato Si’, global environmental risks, and the future of humanity","Quarterly Review of Biology","91","3","10.1086/688261","3","2","1.0"
"Goertzel B., Pitt J.","2014","Nine Ways to Bias Open-Source Artificial General Intelligence Toward Friendliness","Intelligence Unbound: The Future of Uploaded and Machine Minds","","","10.1002/9781118736302.ch4","3","2","1.0"
"Óhéigeartaigh S., Armstrong S.","2014","Who Knows Anything about Anything about AI?","Intelligence Unbound: The Future of Uploaded and Machine Minds","","","10.1002/9781118736302.ch3","3","2","1.0"
"Mitchell A.","2017","Is IR going extinct?","European Journal of International Relations","23","1","10.1177/1354066116632853","3","2","1.0"
"Laybourn-Langton L.","2016","Barbarism at last: A future of unprecedented instability is in plain sight","Juncture","23","3","","3","2","1.0"
"Verendel V., Lindgren K., Johansson D.J.A.","2016","Strategic reasoning and bargaining in catastrophic climate change games","Nature Climate Change","6","3","10.1038/nclimate2849","3","2","1.0"
"Leslie J.","1992","The doomsday argument","The Mathematical Intelligencer","14","2","10.1007/BF03025214","3","2","1.0"
"Barrett A.M.","2017","Value of global catastrophic risk (GCR) information: Cost-effectiveness-based approach for GCR reduction","Decision Analysis","14","3","10.1287/deca.2017.0350","3","2","1.0"
"Torres P.","2017","Moral bioenhancement and agential risks: Good and bad outcomes","Bioethics","31","9","10.1111/bioe.12389","3","2","1.0"
"Berrada M., Adadi A.","2018","Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)","IEEE Access","6","","10.1109/ACCESS.2018.2870052","3","2","1.0"
"Amster R.","2014","Teaching to the test: climate change, militarism, and the pedagogy of hopefulness","Journal of Peace Education","11","3","10.1080/17400201.2014.954362","3","2","1.0"
"Esvelt K.M.","2018","Inoculating science against potential pandemics and information hazards","PLoS Pathogens","14","10","10.1371/journal.ppat.1007286","3","2","1.0"
"Warner C.M., Carter S.R.","2018","Trends in synthetic biology applications, tools, industry, and oversight and their security implications","Health Security","16","5","10.1089/hs.2018.0067","3","2","1.0"
"Holodova A.A.","2018","Noospheric and antropospheric consequences of disasters and safety philosophy","Materials Science Forum","931 MSF","","10.4028/www.scientific.net/MSF.931.1087","3","2","1.0"
"Kopeć R.","2018","Space deterrence: In search of a ‘magical formula’","Space Policy","","","10.1016/j.spacepol.2018.10.003","3","2","1.0"
"Saiya N.","2018","Confronting Apocalyptic Terrorism: Lessons from France and Japan","Studies in Conflict and Terrorism","","","10.1080/1057610X.2018.1499694","3","2","1.0"
"Bitz C.M., Archer D., Tobin T.S.","2017","Modeling climatic effects of carbon dioxide emissions from Deccan Traps volcanic eruptions around the Cretaceous–Paleogene boundary","Palaeogeography, Palaeoclimatology, Palaeoecology","478","","10.1016/j.palaeo.2016.05.028","3","2","1.0"
"Barnosky A.D., Tian D., Wei F., Xie Y.","2018","Defining the balance point between conservation and development","Conservation Biology","","","10.1111/cobi.13221","3","2","1.0"
"Yampolskiy R.V.","2018","Predicting future AI failures from historic examples","Foresight","","","10.1108/FS-04-2018-0034","3","2","1.0"
"Slaughter R.A.","2018","The IT revolution reassessed part three: Framing solutions","Futures","100","","10.1016/j.futures.2018.02.005","3","2","1.0"
"Glazachev D.O., Kartashova A.P., Podobnaya E.D., Jenniskens P., Popova O.P.","2019","Tunguska eyewitness accounts, injuries, and casualties","Icarus","","","10.1016/j.icarus.2019.01.001","3","2","1.0"
"Sachs J.D.","2019","Will America create a Cold War with China","China Economic Journal","","","10.1080/17538963.2019.1601811","3","2","1.0"
"Clarke R.","2019","Why the world wants controls over Artificial Intelligence","Computer Law and Security Review","","","10.1016/j.clsr.2019.04.006","3","2","1.0"
"Revell T.","2019","‘AIs are really dumb. They don't even have the intelligence of a 6-month-old’","New Scientist","242","3233","10.1016/S0262-4079(19)31038-3","3","2","1.0"
"Chaterji S.","2019","Panel 1 Position Paper: Man versus Machines-Humans Need Not Apply","2019 11th International Conference on Communication Systems and Networks, COMSNETS 2019","","","10.1109/COMSNETS.2019.8711417","3","2","1.0"
"Kaminska M., Silomon J.","2019","Artificial intelligence: Playing the imitation game","14th International Conference on Cyber Warfare and Security, ICCWS 2019","","","","3","2","1.0"
"Sverdlik N., Naveh-Kedem Y.","2019","Changing prosocial values following an existential threat as a function of political orientation: Understanding the effects of armed conflicts from a terror management perspective","Personality and Individual Differences","150","","10.1016/j.paid.2019.07.004","3","2","1.0"
"Szocik K., Norman Z., Reiss M.J.","2019","Ethical Challenges in Human Space Missions: A Space Refuge, Scientific Value, and Human Gene Editing for Space","Science and Engineering Ethics","","","10.1007/s11948-019-00131-1","3","2","1.0"
"Aleksanyan G., Valyaev A.","2019","Integrated emergency management and risks for mass casualty emergencies","CHAOS 2014 - Proceedings: 7th Chaotic Modeling and Simulation International Conference","","","","3","2","1.0"
"Vaas R.","2019","Life, intelligence, and the selection of universes","Springer Proceedings in Complexity","","","10.1007/978-3-030-00075-2_3","3","2","1.0"
"Palinkas L.A., Wong M.","2020","Global climate change and mental health","Current Opinion in Psychology","32","","10.1016/j.copsyc.2019.06.023","3","2","1.0"
"Danil L.R.","2020","On facing the crucial psychosocial and political-economic dimensions of anthropogenic global warming","Psychoanalysis, Culture and Society","","","10.1057/s41282-020-00165-6","3","2","1.0"
"Robertson L.J.","2020","The technological ‘exposure’ of populations; characterisation and future reduction","Futures","121","","10.1016/j.futures.2020.102584","3","2","1.0"
"Totschnig W.","2020","Fully Autonomous AI","Science and Engineering Ethics","","","10.1007/s11948-020-00243-z","3","2","1.0"
"Keen S.","2020","The appallingly bad neoclassical economics of climate change","Globalizations","","","10.1080/14747731.2020.1807856","3","2","1.0"
"Boso À., Oltra C.","2020","Lessons learned from the coronavirus crisis: Preparation and social resilience","Revista Espanola de Sociologia","29","3","10.22325/fes/res.2020.50","3","2","1.0"
"Traphagan J.W., Smith K.C.","2020","First, Do Nothing: A Passive Protocol for First Contact","Space Policy","54","","10.1016/j.spacepol.2020.101389","3","2","1.0"
"Patton M.Q.","2020","Evaluation Criteria for Evaluating Transformation: Implications for the Coronavirus Pandemic and the Global Climate Emergency","American Journal of Evaluation","","","10.1177/1098214020933689","3","2","1.0"
"Biermann F.","2020","The future of ‘environmental’ policy in the Anthropocene: time for a paradigm shift","Environmental Politics","","","10.1080/09644016.2020.1846958","3","2","1.0"
"Kotov V.B., Sokhova Z.B.","2021","Role of Resource Production in Community of People and Robots","Studies in Computational Intelligence","925 SCI","","10.1007/978-3-030-60577-3_11","3","2","1.0"
"Busby J.W.","2020","Beyond internal conflict: The emergent practice of climate security","Journal of Peace Research","","","10.1177/0022343320971019","3","2","1.0"
"Sharma D.S.K.","2020","Creation, humanity, science and sustainability for human survival","Health and Technology","10","6","10.1007/s12553-020-00487-6","3","2","1.0"
"Durand G.","2020","Canadian journal of bioethics revue canadienne de bioéthique","Canadian Journal of Bioethics","3","3","10.7202/1073785AR","3","2","1.0"
"Lovenduski N.S., Toon O.B., Bardeen C.G., Harrison C.S., Robock A., Rohr T., Coupe J., Olivarez H., Stevenson S.","2020","The Potential Impact of Nuclear Conflict on Ocean Acidification","Geophysical Research Letters","47","3","10.1029/2019GL086246","3","2","1.0"
"Bergman J.","2018","Andrei sakharov on nuclear war and nuclear peace","The Routledge History of World Peace since 1750","","","","3","2","1.0"
"Simons S.S., Haqq-Misra J.D.","2019","A trip to the moon might constrain the Fermi Paradox","Futures","106","","10.1016/j.futures.2018.06.019","3","2","1.0"
"Hein A.M., Baxter S.","2019","Artificial intelligence for interstellar travel","JBIS - Journal of the British Interplanetary Society","72","4","","3","2","1.0"
"Dorn A.W., Pauk R.","2012","The closest brush: How a UN secretary-general averted doomsday","Bulletin of the Atomic Scientists","68","6","10.1177/0096340212464363","1","1","1.0"
"Hunt C.","2013","Illustrated implications of the Terrifying New Math of Meinshausen and McKibben","Economic Analysis and Policy","43","3","10.1016/S0313-5926(13)50030-0","1","1","1.0"
"Burns W.C.G.","2010","Introduction: The emerging salience of geoengineering","Climate Change Geoengineering: Philosophical Perspectives, Legal Issues, and Governance Frameworks","","","10.1017/CBO9781139161824.001","1","1","1.0"
"Sokolov L.L., Bashakov A.A., Pitjev N.P.","2008","Peculiarities of the motion of asteroid 99942 Apophis","Solar System Research","42","1","10.1007/s11208-008-1003-2","1","1","1.0"
"Connell J.","2003","Losing ground? Tuvalu, the greenhouse effect and the garbage can","Asia Pacific Viewpoint","44","2","","1","1","1.0"
"Scott H.","2009","Apocalypse narrative, chaotic system: Gilbert White's Natural History of Selborne and modern ecology","Romanticism on the Net","","56","","1","1","1.0"
"Wang H., Xue H.","2010","RETRACTED ARTICLE: Promote the practice of taking actions to climate change in China with legislation","2010 2nd Conference on Environmental Science and Information Application Technology, ESIAT 2010","2","","10.1109/ESIAT.2010.5568735","1","1","1.0"
"Westman W.E.","1976","Doomsday expectations [3]","Science","193","4255","","1","1","1.0"
"Smith N.J.","2009","Global social justice as a ‘question of human survival’: An interview with clare short","Journal of Global Ethics","5","2","10.1080/17449620903110334","1","1","1.0"
"Rosser J.B. Jr.","2001","Complex ecologic-economic dynamics and environmental policy","Ecological Economics","37","1","10.1016/S0921-8009(00)00259-7","1","1","1.0"
"Bostrom N.","2007","Technological revolutions: Ethics and policy in the dark","Nanoscale: Issues and Perspectives for the Nano Century","","","10.1002/9780470165874.ch10","1","1","1.0"
"Tait J., Morris D.","2000","Sustainable development of agricultural systems: Competing objectives and critical limits","Futures","32","3-4","10.1016/S0016-3287(99)00095-6","1","1","1.0"
"Gómez C., Buriticá J., Sánchez-Silva M., Dueñas-Osorio L.","2011","Optimisation-based decision-making for complex networks in disastrous events","International Journal of Risk Assessment and Management","15","5-6","10.1504/IJRAM.2011.043697","1","1","1.0"
"Kim K.C.","1993","Biodiversity, conservation and inventory: why insects matter","Biodiversity and Conservation","2","3","10.1007/BF00056668","1","1","1.0"
"Schrage G.","1992","Doomsday postponed","Interchange","23","3","10.1007/BF01450189","1","1","1.0"
"Bessinger C.D.","1986","Humanitology as a New Specialty","New England Journal of Medicine","314","4","10.1056/NEJM198601233140419","1","1","1.0"
"Gullichsen J.","2008","Thoughts on climate change and energy [Ajatuksia ilmastonmuutoksesta ja energiasta]","Paperi ja Puu/Paper and Timber","90","1","","1","1","1.0"
"Abse L.","1978","Dicing with doomsday.","Spectator (London, England : 1828)","240","7823","","1","1","1.0"
"Gatto M., Rinaldi S.","1985","Some possible mechanisms leading to catastrophes in forest dynamics.","Ecologia. Atti 2o congresso Societa Italiana di Ecologia, Padova, 1984. Tomo 1","","","","1","1","1.0"
"Lehman D.E.","1981","'Doomsday' reconsidered","Resources and Energy","3","4","10.1016/0165-0572(81)90014-1","1","1","1.0"
"Krauss L.M.","2010","The Doomsday Clock still ticks","Scientific American","302.0","1","10.1038/scientificamerican0110-26","1","1","1.0"
"Sharpley R.","2005","The tsunami and tourism: A comment","Current Issues in Tourism","8","4","","1","1","1.0"
"","1984","Technology: population, pollution and the prophets of doom.","Bulletin of Science, Technology & Society","4","6","","1","1","1.0"
"Levi B.G.","2000","Experts Dismiss Doomsday Scenarios for RHIC","Physics Today","53","1","","1","1","1.0"
"Keinan E.","2013","Gloomy forecast for the prophets of apocalypse and bright forecast for chemists","Angewandte Chemie - International Edition","52","10","10.1002/anie.201209383","1","1","1.0"
"Dypvik H., Jansa L.F.","2003","Sedimentary signatures and processes during marine bolide impacts: A review","Sedimentary Geology","161","3-4","10.1016/S0037-0738(03)00135-0","1","1","1.0"
"Anantapadmanabhan C.S.","1971","Some statistical aspects of catastrophic risks","ASTIN Bulletin","5","3","10.1017/S0515036100011107","1","1","1.0"
"Mathews J.A.","2011","Naturalizing capitalism: The next Great Transformation","Futures","43","8","10.1016/j.futures.2011.06.011","1","1","1.0"
"Jukes T.H.","1997","George Wald believed in Apocalypse now [3]","Nature","388","6637","","1","1","1.0"
"Puchkovskii S.V.","1996","Greenhouse effect and probable prospects: global catastrophe or optimization of the biosphere? [Parnikovyi éffekt i veroiatnye perspektivy: global'naia katastrofa ili optimizatsiia biosfery?]","Biofizika","41","2","","1","1","1.0"
"Basili M., Franzini M.","2006","Understanding the risk of an avian flu pandemic: Rational waiting or precautionary failure?","Risk Analysis","26","3","10.1111/j.1539-6924.2006.00761.x","1","1","1.0"
"Toumey C.","2009","Plenty of gloom and doom at the bottom?","Nature Nanotechnology","4","7","10.1038/nnano.2009.163","1","1","1.0"
"Chin G., Marathe T., Roberts L.","2011","Population. Doom or vroom? Introduction.","Science (New York, N.Y.)","333","6042","10.1126/science.333.6042.538","1","1","1.0"
"Robbins Jeff","1993","Order-out order-in: a conceptual tie to a sustainable future","","","","","1","1","1.0"
"Belcher C.M., Collinson M.E., Scott A.C.","2005","Constraints on the thermal energy released from the Chicxulub impactor: New evidence from multi-method charcoal analysis","Journal of the Geological Society","162","4","10.1144/0016-764904-104","1","1","1.0"
"Myers N.","1986","The environmental dimension to security issues","The Environmentalist","6","4","10.1007/BF02238056","1","1","1.0"
"Johnson A.","1998","2000 and out? Computers and the ''millennium time bomb''","Journal of Visual Communication in Medicine","21","1","10.3109/17453059609063118","1","1","1.0"
"Kyriacou D.N., Adamski A., Khardori N.","2006","Anthrax: From Antiquity and Obscurity to a Front-Runner in Bioterrorism","Infectious Disease Clinics of North America","20","2","10.1016/j.idc.2006.03.009","1","1","1.0"
"Odhiambo W.","2003","HIV/AIDS and debt crises: threat to human survival in sub-Saharan Africa.","Medicine, conflict, and survival","19","2","","1","1","1.0"
"Ackerman F.","2013","Valuing the Ocean Environment","Managing Ocean Environments in a Changing Climate: Sustainability and Economic Perspectives","","","10.1016/B978-0-12-407668-6.00010-0","1","1","1.0"
"Gao G., Ding G., Ren L., Zhang J., Zang Y., Liang W., He Y., An Y.","2011","RETRACTED ARTICLE: Carbon sequestration forestry- A sustainable choice for combating climate change","5th International Conference on Bioinformatics and Biomedical Engineering, iCBBE 2011","","","10.1109/icbbe.2011.5781329","1","1","1.0"
"Lindanger H.B.","2012","Resilience in a global disaster: The local in disaster-induced compressed globalization","Forum for Development Studies","39","3","10.1080/08039410.2012.691896","1","1","1.0"
"Tsujita C.J.","2001","The significance of multiple causes and coincidence in the geological record: From clam clusters to Cretaceous catastrophe","Canadian Journal of Earth Sciences","38","2","10.1139/cjes-38-2-271","1","1","1.0"
"Shanahan M.","2012","Satori before singularity","Journal of Consciousness Studies","19","7-8","","1","1","1.0"
"Morens D.M., Folkers G.K., Fauci A.S.","2008","Emerging infections: a perpetual challenge","The Lancet Infectious Diseases","8","11","10.1016/S1473-3099(08)70256-1","1","1","1.0"
"Yampolskiy R.V.","2012","Leakproofing the singularity: Artificial intelligence confinement problem","Journal of Consciousness Studies","19","1-2","","1","1","1.0"
"Grieve R.A.F.","1997","Target earth: Evidence for large-scale impact events","Annals of the New York Academy of Sciences","822","","10.1111/j.1749-6632.1997.tb48350.x","1","1","1.0"
"Mellanby K.","1987","Doom again","Nature","326","6116","","1","1","1.0"
"Jaenike J.","2007","Comment on ""Impacts of biodiversity loss on ocean ecosystem services"".","Science (New York, N.Y.)","316","5829","","1","1","1.0"
"Heard S.B., Mooers A.Ø.","2002","Signatures of random and selective mass extinctions in phylogenetic tree balance","Systematic Biology","51","6","","1","1","1.0"
"Allhoff F.","2009","Risk, precaution, and emerging technologies","Studies in Ethics, Law, and Technology","3","2","10.2202/1941-6008.1078","1","1","1.0"
"Jiang S., Bralower T.J., Patzkowsky M.E., Kump L.R., Schueth J.D.","2010","Geographic controls on nannoplankton extinction across the Cretaceous/Palaeogene boundary","Nature Geoscience","3.0","4","10.1038/ngeo775","1","1","1.0"
"Bertram G.C.L.","1977","Man Pressure Again","Oryx","14","2","10.1017/S0030605300015210","1","1","1.0"
"Kuroda T., Orii T., Koizumi S.","1997","Concept of global disaster observation satellite system (GDOS) and measures to be taken for its realization","Acta Astronautica","41","4-10","","1","1","1.0"
"Fairley W.B.","1981","Assessment for Catastrophic Risks","Risk Analysis","1","3","10.1111/j.1539-6924.1981.tb01416.x","1","1","1.0"
"Derezotes D.","2009","Religious resurgence, human survival, and global religious social work","Journal of Religion and Spirituality in Social Work","28","1-2","10.1080/15426430802643604","1","1","1.0"
"Krauss L.M.","2010","The Doomsday Clock still ticks.","Scientific American","302.0","1","10.1038/scientificamerican0110-40","1","1","1.0"
"Shapiro K.","2006","Global warming: Apocalypse now?","Commentary","122","2","","1","1","1.0"
"Horton R.","2005","Threats to human survival: A WIRE to warn the world","Lancet","365","9455","10.1016/S0140-6736(05)17750-2","1","1","1.0"
"Morrison D.","1993","An international program to protect the Earth from impact catastrophe: Initial steps","Acta Astronautica","30","C","","1","1","1.0"
"Rossbacher L.A.","2013","Contemplating existential risk","Earth","58","10","","1","1","1.0"
"McLaren G.","2012","The triumph of virtual reality and its implications for philosophy and civilization","Cosmos and History","8","1","","1","1","1.0"
"Weiss V.","2007","The population cycle drives human history - From a eugenic phase into a dysgenic phase and eventual collapse","Journal of Social, Political, and Economic Studies","32","3","","1","1","1.0"
"Schwaller C.M.","1997","Year 2000. A date with destiny: Apocalypse as 'the end' or as 'revelation'?","Space and Culture","1","2","10.1177/120633120000100205","1","1","1.0"
"Donnadieu G.","2009","Bound for doomsday? on Jean-Pierre Dupuy's book, la marque du sacré [The mark of the sacred] [Vers l'apocalypse? À propos du livre de jean-pierre dupuy, la marque du sacré]","Futuribles: Analyse et Prospective","","354","","1","1","1.0"
"Chin G., Marathe T., Roberts L.","2011","Doom or vroom?","Science","333","6042","","1","1","1.0"
"Lawler P.","1988","Reviews: Ferenc Feher and Agnes Heller, Doomsday or Deterrence? (New York, M.E. Sharpe, 1986)","Thesis Eleven","20","1","10.1177/072551368802000111","1","1","1.0"
"Cribb J.","2010","The coming famine: The global food crisis and what we can do to avoid It","The Coming Famine: The Global Food Crisis and What We Can Do to Avoid It","","","","1","1","1.0"
"Racki G.","1999","Controversies over causes of global ecological catastrophes in the earth history: A summary of impact/volcanism debate [Kontrowersje wokol przyczyn wielkich katastrof ekologicznych w historii Ziemi: Podsumowanie debaty]","Przeglad Geologiczny","47","4","","1","1","1.0"
"Renner A.","2013","One place, three memories: Hiroshima from the soviet point of view [Ein Ort, drei Erinnerungen: Hiroshima aus sowjetischer Sicht]","Osteuropa","63","7","","1","1","1.0"
"Kunreuther H.C., Michel-Kerjan E.O.","2009","Assessing, managing and benefiting from global interdependent risks: The case of terrorism and natural disasters","Global Business and the Terrorist Threat","","","","1","1","1.0"
"Xu T., Tang C.-A.","2008","Modeling of stress-induced permeability evolution and damage of rock","Advanced Materials Research","33-37 PART 1","","","1","1","1.0"
